item,n_systems,omission_rate,se,position,item_label,lower,upper
IS3G02,35,0.006404395003506918,3.01382144262692e-4,1,About You/What is your gender,0.005813686000752042,0.006995104006261794
IS3G03,35,0.0211220058777663,0.001078132392008346,2,About You/What is the highest level of education you expect to complete,0.019008866389429942,0.023235145366102657
IS3G04A,35,0.047453858211580366,0.001217241530976227,3,Your Home and Your Family/In what country were you and your parents born/You,0.04506806481086696,0.04983965161229377
IS3G04B,35,0.06252905006792195,0.0013021745348321706,4,Your Home and Your Family/In what country were you and your parents born/[parent or guardian 1],0.05997678797965089,0.065081312156193
IS3G04C,35,0.06336772181285683,0.0013193079153950029,5,Your Home and Your Family/In what country were you and your parents born/[parent or guardian 2],0.06078187829868262,0.06595356532703103
IS3G05,35,0.013807306116696708,0.001050150168335884,6,Your Home and Your Family/What language do you speak at home most of the time,0.011749011786758376,0.015865600446635042
IS3G06,35,0.009981773536407355,3.7247762999611904e-4,7,Your Home and Your Family/Does your [parent or guardian 1] work in a paid job,0.009251717381614961,0.01071182969119975
IS3G09,35,0.05648230378354989,0.0013630817590710113,8,Your Home and Your Family/What is the highest level of education completed by your [parent or guardian 1],0.05381066353577071,0.05915394403132907
IS3G10,35,0.021127550047690225,5.528075398606274e-4,9,Your Home and Your Family/Does your [parent or guardian 2] work in a paid [job],0.020044047269563395,0.022211052825817056
IS3G13,35,0.07467833375309847,0.0014776769855085346,10,Your Home and Your Family/What is the highest level of education completed by your [parent or guardian 2],0.07178208686150174,0.0775745806446952
IS3G14,35,0.01260346693493423,5.314010237541345e-4,11,Your Home and Your Family/About how many books are there in your home,0.011561920928376126,0.013645012941492334
IS3G15A,34,0.024602625750350805,6.759221320599726e-4,12,Your Home and Your Family/Quality of home internet connection/Drop out,0.02327781837151326,0.02592743312918835
IS3G15B,35,0.05589094190138074,0.0010020942303555261,13,Your Home and Your Family/Quality of home internet connection/Slow,0.05392683720988391,0.057855046592877574
IS3G16AA,35,0.02844175356958615,7.07036256399188e-4,14,Your Home and Your Family/How many ICT devices are currently used in your home/Desktop or laptop computers,0.02705596250704374,0.02982754463212856
IS3G16AB,35,0.05042004138637887,8.96862816322906e-4,15,Your Home and Your Family/How many ICT devices are currently used in your home/Tablet devices,0.04866219026638598,0.05217789250637177
IS3G16BA,35,0.030350623637371177,7.627410334398167e-4,16,Your Home and Your Family/Can you acces the following ICT devices at home for schoolwork/Desktop or laptop computers,0.028855651211829137,0.03184559606291322
IS3G16BB,35,0.054634912243608454,9.420505088775575e-4,17,Your Home and Your Family/Can you acces the following ICT devices at home for schoolwork/Tablet devices,0.05278849324620844,0.056481331241008466
IS3G16BC,35,0.03831539704463363,8.669584367691453e-4,18,Your Home and Your Family/Can you acces the following ICT devices at home for schoolwork/[Smartphone],0.03661615850856611,0.040014635580701154
IS3G17,35,0.017675577986992458,6.45872436955873e-4,19,Your General Use of ICT/How long have you been using computers,0.01640966801055895,0.018941487963425967
IS3G18A,35,0.03686344485469344,9.073537817262304e-4,20,Your General Use of ICT/How often do you use ICT/On school days/At school for schoolwork,0.03508503144251003,0.038641858266876855
IS3G18B,35,0.06583536904031602,0.0011568951180406016,21,Your General Use of ICT/How often do you use ICT/On school days/At school for other purposes,0.06356785460895643,0.0681028834716756
IS3G18C,35,0.11491775232146594,0.0014060275908381558,22,Your General Use of ICT/How often do you use ICT/On school days/Outside of school for schoolwork,0.11216193824342315,0.11767356639950872
IS3G18D,35,0.11576409846848502,0.0014259392505772028,23,Your General Use of ICT/How often do you use ICT/On school days/Outside of school for other purposes,0.1129692575373537,0.11855893939961634
IS3G18E,35,0.05972305125623753,0.0010953762427802934,24,Your General Use of ICT/How often do you use ICT/On non-school days/Outside of school for schoolwork,0.05757611382038816,0.0618699886920869
IS3G18F,35,0.07024623945292151,0.0011954080133084045,25,Your General Use of ICT/How often do you use ICT/On non-school days/Outside of school for other purposes,0.06790323974683704,0.07258923915900597
IS3G19A,32,0.10590226705452543,0.001281711873742335,26,Your General Use of ICT/Parents or guardians place limit on the amount of screen time/On school days,0.10339011178199045,0.10841442232706042
