system,full_mean,short_mean,n,study,scale_var,scale_name
BSGAZEI3,47.618784851048396,47.723558000770296,2428,ICILS 2023,S_LRNINTO,Learning about internet-related tasks outside school
BSGBFLI3,46.7735565488952,46.6088456157985,3160,ICILS 2023,S_LRNINTO,Learning about internet-related tasks outside school
BSGCHLI3,52.61332298117476,52.626035482433146,2484,ICILS 2023,S_LRNINTO,Learning about internet-related tasks outside school
BSGCYPI3,51.45102183324062,51.29229967227168,2752,ICILS 2023,S_LRNINTO,Learning about internet-related tasks outside school
BSGCZEI3,51.840984570138716,51.96128793100081,7822,ICILS 2023,S_LRNINTO,Learning about internet-related tasks outside school
BSGDNKI3,49.34256116949458,49.83672656235081,2772,ICILS 2023,S_LRNINTO,Learning about internet-related tasks outside school
BSGESPI3,49.02437605617597,49.01207265351574,10534,ICILS 2023,S_LRNINTO,Learning about internet-related tasks outside school
BSGFINI3,50.748324374154564,50.94487735058748,3948,ICILS 2023,S_LRNINTO,Learning about internet-related tasks outside school
BSGHUNI3,50.902749380221685,50.96520111252065,3399,ICILS 2023,S_LRNINTO,Learning about internet-related tasks outside school
BSGITAI3,51.875115705899006,52.464681786993985,3232,ICILS 2023,S_LRNINTO,Learning about internet-related tasks outside school
BSGLUXI3,47.379053184074074,47.2934939980538,3875,ICILS 2023,S_LRNINTO,Learning about internet-related tasks outside school
BSGLVAI3,52.822299027233335,52.80323279841125,2557,ICILS 2023,S_LRNINTO,Learning about internet-related tasks outside school
BSGNLDI3,45.02678055908198,44.382576778016784,1125,ICILS 2023,S_LRNINTO,Learning about internet-related tasks outside school
BSGSRBI3,51.50543583391821,51.49467795446268,2747,ICILS 2023,S_LRNINTO,Learning about internet-related tasks outside school
BSGSVKI3,52.606641051325,52.423531768699974,2871,ICILS 2023,S_LRNINTO,Learning about internet-related tasks outside school
BSGTWNI3,50.89809534104003,51.19935933992374,5035,ICILS 2023,S_LRNINTO,Learning about internet-related tasks outside school
BSGUSAI3,48.47884796341196,48.80838901501214,1877,ICILS 2023,S_LRNINTO,Learning about internet-related tasks outside school
BSGXKXI3,47.93685186182426,48.65004533913191,2472,ICILS 2023,S_LRNINTO,Learning about internet-related tasks outside school
bsgaadm8,10.435045237351058,10.345593927343485,10481,TIMSS 2023 Grade 8,BSBGSLM,Students Like Learning Mathematics
bsgautm8,9.40298284014132,9.422617306751775,4500,TIMSS 2023 Grade 8,BSBGSLM,Students Like Learning Mathematics
bsgazem8,11.114860871084879,11.015783787522203,5191,TIMSS 2023 Grade 8,BSBGSLM,Students Like Learning Mathematics
bsgchlm8,10.069521248249432,10.119787140421312,4229,TIMSS 2023 Grade 8,BSBGSLM,Students Like Learning Mathematics
bsgcypm8,9.58768802928735,9.67094728925487,3900,TIMSS 2023 Grade 8,BSBGSLM,Students Like Learning Mathematics
bsgengm8,9.517893174728528,9.65973336838637,3906,TIMSS 2023 Grade 8,BSBGSLM,Students Like Learning Mathematics
bsgfram8,9.579788859733267,9.65504298809403,4217,TIMSS 2023 Grade 8,BSBGSLM,Students Like Learning Mathematics
bsggeom8,10.460847323395807,10.38245632636667,4421,TIMSS 2023 Grade 8,BSBGSLM,Students Like Learning Mathematics
bsghkgm8,10.09021521703511,10.095051542318174,4265,TIMSS 2023 Grade 8,BSBGSLM,Students Like Learning Mathematics
bsghunm8,9.457194096289788,9.454096349389076,5242,TIMSS 2023 Grade 8,BSBGSLM,Students Like Learning Mathematics
bsgirlm8,9.490669073462472,9.61891666190756,4958,TIMSS 2023 Grade 8,BSBGSLM,Students Like Learning Mathematics
bsgjorm8,10.91122443858851,10.783659336166965,6036,TIMSS 2023 Grade 8,BSBGSLM,Students Like Learning Mathematics
bsgkwtm8,9.960566896531565,9.951809556256272,4012,TIMSS 2023 Grade 8,BSBGSLM,Students Like Learning Mathematics
bsgmarm8,11.212789505358456,10.973206587812582,7776,TIMSS 2023 Grade 8,BSBGSLM,Students Like Learning Mathematics
bsgmltm8,9.699525696987152,9.698537527778862,3771,TIMSS 2023 Grade 8,BSBGSLM,Students Like Learning Mathematics
bsgmysm8,10.579051782378265,10.552753384440807,8642,TIMSS 2023 Grade 8,BSBGSLM,Students Like Learning Mathematics
bsgnorm8,9.153187916726717,9.381536198752167,5794,TIMSS 2023 Grade 8,BSBGSLM,Students Like Learning Mathematics
bsgomnm8,10.741190569312867,10.676358280533316,7052,TIMSS 2023 Grade 8,BSBGSLM,Students Like Learning Mathematics
bsgprtm8,9.581249693164512,9.695884973690758,5209,TIMSS 2023 Grade 8,BSBGSLM,Students Like Learning Mathematics
