system,full,short,study,scale_var,scale_name,change
BSGAZEI3,0.26493153729093055,0.281622939669432,ICILS 2023,S_LRNINTO,Learning about internet-related tasks outside school,0.016691402378501474
BSGBFLI3,0.10872679216182353,0.13472784675819918,ICILS 2023,S_LRNINTO,Learning about internet-related tasks outside school,0.026001054596375653
BSGCHLI3,0.16807627094001312,0.17797780347463016,ICILS 2023,S_LRNINTO,Learning about internet-related tasks outside school,0.009901532534617036
BSGCYPI3,0.20948013003969546,0.22862323899154563,ICILS 2023,S_LRNINTO,Learning about internet-related tasks outside school,0.019143108951850174
BSGCZEI3,0.2559759139481399,0.28929914907669374,ICILS 2023,S_LRNINTO,Learning about internet-related tasks outside school,0.03332323512855384
BSGDNKI3,0.04363475481539419,0.07155756301995751,ICILS 2023,S_LRNINTO,Learning about internet-related tasks outside school,0.027922808204563325
BSGESPI3,0.11906276774447933,0.15648119100099855,ICILS 2023,S_LRNINTO,Learning about internet-related tasks outside school,0.03741842325651923
BSGFINI3,0.09908683235491798,0.1540882810716673,ICILS 2023,S_LRNINTO,Learning about internet-related tasks outside school,0.05500144871674932
BSGHUNI3,0.1996296413194988,0.21930588309877244,ICILS 2023,S_LRNINTO,Learning about internet-related tasks outside school,0.01967624177927363
BSGITAI3,0.16575446846823538,0.18809673227673798,ICILS 2023,S_LRNINTO,Learning about internet-related tasks outside school,0.0223422638085026
BSGLUXI3,0.13983313366519998,0.18355948635459526,ICILS 2023,S_LRNINTO,Learning about internet-related tasks outside school,0.04372635268939529
BSGLVAI3,0.20271871227305618,0.24528287376543634,ICILS 2023,S_LRNINTO,Learning about internet-related tasks outside school,0.042564161492380154
BSGNLDI3,0.19092241932843093,0.20220438614095718,ICILS 2023,S_LRNINTO,Learning about internet-related tasks outside school,0.011281966812526245
BSGSRBI3,0.21961895010895624,0.23868897482915236,ICILS 2023,S_LRNINTO,Learning about internet-related tasks outside school,0.019070024720196116
BSGSVKI3,0.19581043658097969,0.22555767707087573,ICILS 2023,S_LRNINTO,Learning about internet-related tasks outside school,0.02974724048989605
BSGTWNI3,0.19735921698268688,0.23032101765048058,ICILS 2023,S_LRNINTO,Learning about internet-related tasks outside school,0.032961800667793695
BSGUSAI3,0.1824694697481702,0.21144167645327996,ICILS 2023,S_LRNINTO,Learning about internet-related tasks outside school,0.028972206705109776
BSGXKXI3,0.25526884569911623,0.26107168828854505,ICILS 2023,S_LRNINTO,Learning about internet-related tasks outside school,0.005802842589428814
bsgaadm8,0.12828924969339725,0.15284749720223856,TIMSS 2023 Grade 8,BSBGSLM,Students Like Learning Mathematics,0.024558247508841308
bsgautm8,0.22835454781090242,0.2484660499711871,TIMSS 2023 Grade 8,BSBGSLM,Students Like Learning Mathematics,0.020111502160284678
bsgazem8,0.20107946435512733,0.22441513245840847,TIMSS 2023 Grade 8,BSBGSLM,Students Like Learning Mathematics,0.023335668103281137
bsgchlm8,0.20730993918281426,0.24941002549714275,TIMSS 2023 Grade 8,BSBGSLM,Students Like Learning Mathematics,0.04210008631432849
bsgcypm8,0.31743655172555113,0.3528298072033471,TIMSS 2023 Grade 8,BSBGSLM,Students Like Learning Mathematics,0.03539325547779598
bsgengm8,0.3178812598696036,0.34908568462453515,TIMSS 2023 Grade 8,BSBGSLM,Students Like Learning Mathematics,0.03120442475493157
bsgfram8,0.314722554904517,0.35467843961411794,TIMSS 2023 Grade 8,BSBGSLM,Students Like Learning Mathematics,0.03995588470960093
bsggeom8,0.24204670170341067,0.2996325961983075,TIMSS 2023 Grade 8,BSBGSLM,Students Like Learning Mathematics,0.057585894494896844
